feature,rf_gini_importance,permutation_importance_mean,permutation_importance_std
blink_rate_30s,0.18703143006814965,0.19528998585501894,0.002292530685918072
pupil_pcps_mean,0.23350851241614273,0.19342824453051408,0.0029846483650043686
fixation_dur_mean_ms,0.32138624260942394,0.1697230041185019,0.0020859652263851467
fixation_dispersion_mean,0.2194057613664618,0.14838856097461334,0.002248052999085303
pupil_diam_slope,0.03866805353982185,0.03362934892458804,0.002037324749188464
