participant_id,n_windows,accuracy,balanced_accuracy,macro_f1,cohen_kappa
P10,1061,0.5589066918001885,0.6237341320781629,0.5561907417735639,0.19198474276192468
P15,1454,0.5763411279229711,0.5963633968770955,0.5250059396531243,0.12569014392478117
P8,1996,0.622745490981964,0.5831331528860686,0.5772174950653883,0.1759970351007233
P17,1069,0.5612722170252572,0.5498320111665229,0.522670170277385,0.10182068337880712
P14,1573,0.5378258105530833,0.5255304824632556,0.5098182432307894,0.05217480673771946
P13,2367,0.42374313476975073,0.5228494859854143,0.4200455256793285,0.028179468702422605
P11,1441,0.600971547536433,0.5116347717323327,0.5096019938482372,0.021959939989069643
P16,1907,0.47614053487152597,0.505382910775121,0.4727018187162618,0.009867578202350291
P12,3222,0.4655493482309125,0.42335464272003476,0.4194424505222448,-0.13105223652704012
P9,1748,0.5337528604118993,0.40308079324101587,0.39069199497881824,-0.20946572351285186
P18,382,0.5418848167539267,0.39802968960863694,0.40151657579745564,-0.12743279252538198
