feature,rf_gini_importance,permutation_importance_mean,permutation_importance_std
blink_rate_30s,0.22674778605531817,0.16916748436279624,0.00294585979389611
pupil_pcps_mean,0.21852917434283614,0.1496998112339642,0.002241166077335611
fixation_dur_mean_ms,0.29220855746932495,0.1342766167995268,0.0020787530614448714
fixation_dispersion_mean,0.19426540518818367,0.11767630801752316,0.0025148313570056494
pupil_diam_slope,0.06824907694433717,0.032943128926399654,0.0012889978768723458
