feature,importance_mean,importance_std
step_number,0.5321394281637948,0.0028531441697992907
cumulative_session_time_s,0.22964627765077877,0.0028549687997520014
procedure_id,0.12054611978751184,0.0014934030803171105
pupil_pcps_mean,0.07843455765655659,0.0012275659353492487
blink_rate_per_min,0.05059380063327194,0.0009160527384375852
fixation_dur_mean_ms,0.02056137867746447,0.0008547310683400562
fixation_dispersion_mean,0.018190590899644088,0.0009356184854596898
pupil_diam_slope,0.0061115473399893094,0.0004874880453169597
